-5.8,4.607739,-0.1
-2.829203,0.5,-0.1
-1.296039,0.5,-0.1
0.2883304,0.5,-0.1
1.69646,0.5,-0.1
3.460908,3.05379,-0.1
4.966476,9.251904,-0.1
6.451086,9.6,-0.1
7.86762,9.6,-0.1
9.395822,7.110567,-0.09999999
10.89725,5.075881,-0.1
12.3964,6.716413,-0.1
13.83041,9.4606,-0.1000051
15.25449,9.6,-0.1000086
16.74167,7.632146,-0.1000095
18.2656,6.300757,-0.1000103
19.7409,8.623899,-0.1000111
21.13778,9.380001,-0.1000112
22.58738,9.380001,-0.1000112
24.40578,5.625691,-0.1000112
25.91559,5.084826,-0.1000112
27.38186,8.121807,-0.1000112
28.8322,9.380001,-0.1000131
30.36775,6.036307,-0.100014
31.84021,4.909088,-0.1000148
33.31028,7.314927,-0.1000156
34.83163,6.736192,-0.1000159
36.50137,4.661988,-0.1000159
38.09673,6.932458,-0.1000159
39.7788,7.085468,-0.1000254
41.19895,4.829086,-0.1000367
42.93984,6.555344,-0.1000506
44.42654,8.558537,-0.1000534
46.13359,4.980374,-0.1000443
47.86669,6.214668,-0.1000351
49.57272,9.379999,-0.1000296
51.08497,9.380001,-0.1000296
52.74877,5.25158,-0.1000296
54.1713,5.276032,-0.1000296
55.61294,8.671534,-0.1000296
57.00801,6.137039,-0.1000377
58.46842,4.786712,-0.1000455
60.19463,2.780041,-0.1000547
61.89592,0.6999998,-0.1000525
63.64318,4.430169,-0.1000496
65.11102,5.042381,-0.1000473
66.58677,2.111754,-0.1000449
68.3625,2.48194,-0.1000425
69.79882,3.884562,-0.1000402
71.2131,1.97457,-0.1000379
72.9575,3.109713,-0.1000372
74.38923,5.367877,-0.1000372
75.79218,4.334186,-0.1000372
77.51129,0.8271606,-0.1000367
78.94238,0.6999998,-0.1000353
80.64725,0.6999998,-0.1000351
82.05676,0.6999998,-0.1000351
83.74208,0.6999998,-0.1000351
85.17322,0.6999998,-0.1000351
